"","Winner","Loser","WRank","LRank","pl1_flag","pl1_year_pro","pl1_weight","pl1_height","pl1_hand","pl2_flag","pl2_year_pro","pl2_weight","pl2_height","pl2_hand","higher_rank_won","rank_diff","rank_diff_cat","same_handedness"
"1435","Lopez F.","Falla A.",31,103,"ESP",1997,73,185,"Left-Handed","COL",2000,77,185,"Left-Handed","Yes",-72,"Medium Difference","Yes"
"1436","Kavcic B.","Anderson K.",98,56,"SLO",2005,78,188,"Right-Handed","RSA",2007,93,203,"Right-Handed","No",42,"Medium Difference","Yes"
"1437","Bellucci T.","Mello R.",30,77,"BRA",2005,82,188,"Left-Handed","BRA",1999,73,175,"Left-Handed","Yes",-47,"Medium Difference","Yes"
"1438","Nadal R.","Daniel M.",1,93,"ESP",2001,85,185,"Left-Handed","BRA",1997,79,180,"Right-Handed","Yes",-92,"High Difference","No"
"1439","Hernych J.","Istomin D.",241,41,"CZE",1998,83,188,"Right-Handed","UZB",2004,88,188,"Right-Handed","No",200,"High Difference","Yes"
"1440","Cilic M.","Young D.",15,129,"CRO",2005,89,198,"Right-Handed","USA",2004,79,183,"Left-Handed","Yes",-114,"High Difference","No"
"1441","Melzer J.","Millot V.",11,160,"AUT",1999,81,183,"Left-Handed","FRA",2007,75,173,"Left-Handed","Yes",-149,"High Difference","Yes"
"1442","Dolgopolov O.","Kukushkin M.",46,63,"UKR",2006,71,180,"Right-Handed","KAZ",2006,72,183,"Right-Handed","Yes",-17,"Low Difference","Yes"
"1443","Riba P.","Ball C.",71,158,"ESP",2004,78,183,"Right-Handed","AUS",2005,91,198,"Left-Handed","Yes",-87,"High Difference","No"
"1444","Ferrer D.","Nieminen J.",7,40,"ESP",2000,73,175,"Right-Handed","FIN",2000,78,185,"Left-Handed","Yes",-33,"Medium Difference","No"
"1445","Giraldo S.","Machado R.",59,90,"COL",2004,75,188,"Right-Handed","POR",2002,70,178,"Right-Handed","Yes",-31,"Medium Difference","Yes"
