W...1,L...2,East,Heya...4,Shusshin...5,Birth Date...6,Hatsu...7,University...8,Height/Weight...9,High...10,Career...11,Career Record...12,Prev...13,Prev W...14,Prev L...15,Next...16,Next W...17,Next L...18,Rank,West,Heya...21,Shusshin...22,Birth Date...23,Hatsu...24,University...25,Height/Weight...26,High...27,Career...28,Career Record...29,Prev...30,Prev W...31,Prev L...32,W...33,L...34,Next...35,Next W...36,Next L...37
3,4,Hitoshi,Oitekaze,Tokyo,14.08.1997,2021.05,Nihon University,181 cm 139 kg,Ms14,Ms14,48-15-21/63,Ms18e,4,3,Ms18w,5,2,Ms14,Miyagi,Nishonoseki,Okinawa,30.01.1999,2021.05,Nippon Sport Science University,170 cm 94 kg,Ms14,Ms11,55-29/84,Ms24e,5,2,4,3,Ms11w,3,4
5,2,Kanzaki,Takekuma,Hyogo,24.07.1999,2022.03,Kinki University,192 cm 148 kg,Ms15,Ms8,37-19/56,Ms25e,5,2,Ms8w,3,4,Ms15,Nishinoryu,Sakaigawa,Osaka,20.08.2000,2018.11,NA,180 cm 120 kg,Ms13,Ms10,104-78/182,Ms25w,5,2,5,2,Ms10e,3,4
3,4,Daiseiryu (Daiseido),Kise,Aomori,30.12.1992,2011.05,NA,179 cm 148 kg,J12,J12,268-246-7/514,Ms10w,3,4,Ms22w,0,7,Ms16,Kazekeno,Oshiogawa,Ehime,04.06.1999,2022.03,Chuo University,183 cm 147 kg,Ms16,Ms13,39-10/49,Ms40w,6,1,4,3,Ms13w,5,2
4,3,Chiyonoo,Kokonoe,Kagoshima,29.05.1991,2010.03,NA,180 cm 149 kg,M14,M14,426-417-40/839,Ms3e,1,6,Ms14w,5,2,Ms17,Kototebakari,Sadogatake,Chiba,08.07.2003,2022.01,NA,182 cm 121 kg,Ms17,Ms17,40-15-1/54,Ms22w,4,3,3,4,Ms23e,4,3
4,3,Tokunomusashi,Musashigawa,Kagoshima,25.07.2000,2016.05,NA,192 cm 136 kg,Ms18,Ms16,141-114-18/254,Ms23w,4,3,Ms16e,3,4,Ms18,Setonoumi,Takadagawa,Hiroshima,11.06.2004,2020.03,NA,179 cm 108 kg,Ms15,Ms15,66-40-20/106,Ms15e,3,4,3,4,Ms24e,2,5
5,2,Yoshii,Tokitsukaze,Shizuoka,01.08.2003,2019.03,NA,178 cm 152 kg,Ms3,Ms3,93-68-7/161,Ms15w,3,4,Ms12e,2,5,Ms19,Higonoumi,Kise,Kumamoto,17.08.1999,2015.03,NA,180 cm 139 kg,Ms19,Ms19,162-116-58/278,Ms32w,5,2,2,4,Ms34w,0,0
5,2,Kotoozutsu,Sadogatake,Miyazaki,25.04.1997,2016.03,NA,175 cm 157 kg,Ms8,Ms8,143-108-15/250,Ms49w,6,1,Ms14e,4,3,Ms20,Wakatakamoto,Arashio,Fukushima,29.12.1991,2009.11,NA,183 cm 123 kg,Ms7,Ms7,291-239-23/530,Ms26w,4,3,3,4,Ms29w,5,2
3,4,Tochikodai,Kasugano,Shizuoka,09.01.1999,2017.03,NA,177 cm 117 kg,Ms9,Ms9,134-115-3/249,Ms9w,2,5,Ms32w,4,3,Ms21,Otsuji,Takadagawa,Hyogo,06.10.2003,2019.03,NA,180 cm 129 kg,Ms8,Ms8,92-61-15/152,Ms10e,2,5,4,3,Ms18e,5,2
2,5,Mudoho,Otake,Tokyo,18.09.2001,2019.11,NA,183 cm 141 kg,Ms20,Ms20,79-56-5/134,Ms35e,5,2,Ms38w,5,2,Ms22,Kotoyusho,Sadogatake,Nara,14.05.1994,2016.03,NA,181 cm 132 kg,J13,J13,157-152-1/308,Ms28e,4,3,4,3,Ms19w,1,6
1,6,Arauma,Isenoumi,Mongolia,26.10.1996,2020.09,Doshisha University,181 cm 134 kg,Ms23,Ms23,62-43/104,Ms36w,5,2,Ms48w,4,3,Ms23,Tochinobori,Kasugano,Ishikawa,01.09.1993,2009.03,NA,184 cm 142 kg,Ms12,Ms12,298-278-5/575,Ms29w,4,3,4,3,Ms20e,3,4
4,3,Kitadaichi,Tatsunami,Hokkaido,08.07.1998,2014.03,NA,170 cm 127 kg,Ms16,Ms16,196-182/378,Ms16w,3,4,Ms20w,3,4,Ms24,Nabatame,Futagoyama,Tochigi,22.02.2002,2020.01,NA,176 cm 149 kg,Ms20,Ms9,80-48-5/128,Ms30e,4,3,6,1,Ms9e,3,4
2,5,Daishomaru,Oitekaze,Osaka,10.07.1991,2014.03,Nihon University,174 cm 153 kg,M5,M5,341-371-1/712,Ms12e,2,5,Ms42e,6,1,Ms25,Hokutenkai,Onoe,Mongolia,02.02.1999,2019.05,NA,180 cm 126 kg,Ms5,Ms5,84-56-14/140,Ms39e,5,2,3,4,Ms34e,4,3
7,0,Ryuo,Nishonoseki,Akita,16.11.1993,2012.01,NA,184 cm 131 kg,Ms16,Ms3,239-216-15/452,Ms30w,4,3,Ms3e,1,7,Ms26,Hatooka,Kise,Kanagawa,23.02.1994,2016.03,Takushoku University,185 cm 159 kg,Ms14,Ms14,145-74-75/218,Ms55w,6,1,3,4,Ms37e,3,4
1,6,Akitoba,Minato,Aichi,02.08.1999,2015.03,NA,174 cm 121 kg,Ms27,Ms27,165-143-28/308,Ms33w,4,3,Sd1e,3,4,Ms27,Kayo,Nishonoseki,Okinawa,14.07.1999,2022.05,Nippon Sport Science University,169 cm 146 kg,Ms18,Ms18,32-17/49,Ms18w,3,4,5,2,Ms19e,2,5
3,4,Kotodaigo,Sadogatake,Oita,14.01.1993,2011.05,NA,188 cm 135 kg,Ms1,Ms1,257-192-48/448,Ms19e,3,4,Ms37w,3,4,Ms28,Fujinoyama (Suzuki),Fujishima,Shizuoka,26.07.2000,2019.01,NA,181 cm 136 kg,Ms11,Ms11,99-76/175,Ms43e,5,2,4,3,Ms23w,5,2
5,2,Narutaki,Isenoumi,Kyoto,13.11.1998,2016.11,NA,176 cm 125 kg,Ms18,Ms18,143-113-10/254,Ms22e,3,4,Ms21w,3,4,Ms29,Oshoumi,Naruto,Ishikawa,12.05.2001,2020.03,NA,184 cm 127 kg,Ms7,Ms7,73-25-28/95,Ms45w,5,2,5,2,Ms22e,4,3
3,4,Osanai,Takasago,Aomori,01.03.1999,2021.03,Kinki University,174 cm 122 kg,Ms10,Ms10,55-36/91,Ms38e,4,3,Ms39e,4,3,Ms30,Akinoyama,Takadagawa,Hiroshima,30.11.1992,2008.03,NA,178 cm 205 kg,Ms13,Ms13,323-295-5/617,Ms48w,5,2,2,5,Ms45w,4,3
3,4,Fujiazuma,Tamanoi,Tokyo,19.04.1987,2003.03,NA,181 cm 165 kg,M4,M4,550-556-31/1105,Ms40e,4,3,Ms40w,1,6,Ms31,Nihonyanagi,Onomatsu,Tokyo,31.05.2000,2019.11,NA,177 cm 155 kg,Ms23,Ms23,78-57-5/135,Ms24w,3,4,1,6,Sd4w,5,2
