Qual.,Player,Team,POS,BA,OBP,SLG,OPS,GP,PA,AB,R,H,2B,3B,HR,RBI,HBP,BB,K,SB,CS
0,Autumn Bennett,Boise State,2B,0.268,0.396,0.366,0.762,38,101,82,21,22,8,0,0,11,2,16,18,4,1
0,Autumn Owen,Marshall,3B,0.354,0.421,0.597,1.018,51,164,144,36,51,11,0,8,23,0,18,29,7,1
0,Avery Drake,Houston Christian,CF,0.161,0.273,0.185,0.458,45,154,124,14,20,3,0,0,5,2,17,22,9,1
0,Avery Wysong,North Dakota State,C,0.252,0.331,0.441,0.772,47,161,143,17,36,13,1,4,23,3,14,49,0,1
0,Avianna Peterson,Coppin State,3B,0.271,0.388,0.375,0.763,36,116,96,17,26,7,0,1,10,2,17,17,2,3
0,Avrey Schumacher,Youngstown State,RF,0.263,0.325,0.342,0.668,56,170,152,16,40,10,1,0,28,3,12,33,2,0
0,Avrey Steiner,Illinois,2B,0.391,0.415,0.437,0.851,56,210,197,35,77,9,0,0,20,0,8,19,10,6
0,Avry Blume,UT Martin,CF,0.281,0.327,0.425,0.752,52,164,146,25,41,7,1,4,29,4,7,28,5,0
0,Aziah James,Connecticut,CF,0.244,0.338,0.311,0.649,56,160,135,30,33,3,3,0,8,0,19,33,8,3
0,Bailee Richardson,Georgia State,3B,0.315,0.366,0.56,0.926,54,183,168,29,53,9,1,10,38,2,12,18,11,3
0,Bailee Wilson,East Carolina,1B,0.25,0.35,0.342,0.692,55,180,152,27,38,14,0,0,21,1,23,23,4,1
0,Bailey Bates,Holy Cross,SS,0.188,0.295,0.232,0.527,42,130,112,14,21,5,0,0,9,4,13,23,3,0
0,Bailey Chavez,Holy Cross,CF,0.264,0.331,0.279,0.61,49,170,140,18,37,2,0,0,6,1,13,14,7,1
0,Bailey Curry,Western Kentucky,DP,0.296,0.407,0.62,1.027,51,172,142,19,42,10,0,12,48,2,26,17,0,0
0,Bailey Drapola,Pittsburgh,LF,0.257,0.396,0.486,0.882,35,95,74,7,19,4,2,3,22,3,14,22,7,1
0,Bailey Huneycutt,Western Carolina,SS,0.329,0.434,0.671,1.105,53,182,152,31,50,7,0,15,50,3,26,23,9,2
0,Bailey Ledvina,East Carolina,2B,0.238,0.311,0.418,0.729,50,142,122,21,29,8,1,4,21,0,13,24,4,0
0,Bailey Shorter,Austin Peay,CF,0.252,0.343,0.409,0.751,48,183,159,30,40,6,2,5,16,4,18,22,2,1
0,Bailey Vannoy,Charlotte,RF,0.381,0.453,0.845,1.299,58,225,194,60,74,12,3,24,58,3,25,22,7,2
0,Bailey Winscott,Virginia,CF,0.262,0.441,0.31,0.751,41,113,84,18,22,2,1,0,5,3,24,12,9,3
0,Bailley Concatto,SIUE,2B,0.284,0.342,0.397,0.739,45,160,141,18,40,7,0,3,16,0,13,8,1,0
0,Baylee Klingler,Washington,SS,0.434,0.5,0.948,1.448,55,202,173,46,75,13,2,24,71,3,23,6,3,2
0,Baylee Morton,Appalachian State,C,0.239,0.457,0.463,0.92,55,188,134,25,32,3,0,9,25,5,49,34,0,0
0,Becca Edwards,Green Bay,1B,0.275,0.392,0.44,0.833,46,130,109,12,30,7,1,3,16,5,16,24,0,0
0,Becky Hurosky,Cleveland State,1B,0.293,0.358,0.512,0.87,43,139,123,15,36,9,0,6,24,3,10,25,0,0
0,Bella Devesa,Elon,SS,0.178,0.241,0.196,0.438,46,124,107,12,19,2,0,0,4,2,7,24,1,1
0,Bella Fiorentino,Penn,1B,0.321,0.463,0.453,0.916,40,134,106,11,34,5,0,3,25,6,22,16,0,0
0,Bella Loya,Illinois,C,0.261,0.324,0.369,0.693,53,173,157,11,41,6,1,3,27,3,12,5,3,0
0,Bella Peterson,Indiana State,RF,0.395,0.458,0.725,1.183,52,193,167,42,66,21,2,10,35,0,22,19,8,0
0,Bella Rocco,Boise State,3B,0.248,0.315,0.376,0.691,39,131,117,10,29,3,0,4,23,3,9,14,0,0
0,Bethany Busch,Houston,LF,0.26,0.359,0.45,0.81,49,157,131,25,34,5,1,6,21,5,16,31,11,4
0,Bianca Barone,Northern Illinois,1B,0.302,0.382,0.422,0.804,41,134,116,13,35,5,0,3,15,3,12,15,7,2
0,Bianca Worthy,Wagner,RF,0.324,0.321,0.387,0.709,44,124,111,15,36,2,1,1,13,0,0,12,1,0
0,Billie McFadyen,Dartmouth,2B,0.348,0.405,0.529,0.934,44,153,138,22,48,5,4,4,25,1,13,10,8,1
