Name,G,ST,MIN,T,TA,GLS,GK%,FG,PTS,R,RM,LB,TB,OFF,K,KM,TCK,MT,ERR,PEN,SB,SO
165J. Su'a(STI),13,13,969,4,1,0,-,0,16,146,"1,183",3,25,17,0,0,326,40,8,7,0,0
165M. Taulagi(NQL),13,13,990,8,1,0,-,0,32,185,"1,730",14,21,14,2,21,34,20,9,2,1,0
165B. Wakeham(WST),13,12,988,2,5,23,85,0,54,32,301,2,8,2,108,"2,901",277,24,17,12,0,0
165D. Walker(WAR),13,4,796,1,3,0,-,0,4,97,767,1,12,7,9,140,302,24,10,7,1,0
165Z. Woolford(CBR),13,12,629,0,4,0,-,0,0,19,136,0,4,3,10,153,325,4,5,6,0,0
200T. Amone(STI),12,10,826,0,6,0,-,0,0,76,524,1,18,10,38,832,134,37,5,0,0,0
200J. Bird(STI),12,11,839,2,3,1,33,0,10,129,953,0,53,9,6,81,334,34,11,11,0,0
200N. Cleary(PEN),12,12,901,3,11,40,88,5,98,78,622,3,28,12,191,"5,345",219,24,13,4,0,0
200T. Couchman(STI),12,0,389,2,0,0,-,0,8,75,597,2,8,3,0,0,244,18,3,2,0,0
200W. Egan(WAR),12,10,789,5,1,0,-,0,20,53,516,5,11,1,2,3,406,19,4,5,0,0
200H. Ese'ese(DOL),12,5,421,0,0,0,-,0,0,119,"1,099",0,22,15,0,0,200,15,2,4,0,0
200D. Finucane(CRO),12,11,590,0,0,0,-,0,0,123,"1,044",1,5,1,0,0,327,20,4,8,1,0
200J. Fisher-Harris(PEN),12,12,568,0,1,0,-,0,0,147,"1,110",1,18,7,1,5,290,22,1,4,0,0
200K. Foran(GLD),12,12,835,2,5,0,-,0,8,50,365,2,6,4,22,543,210,26,7,6,0,0
200W. Graham(CRO),12,0,307,0,2,0,-,0,0,64,565,0,0,2,0,0,174,14,3,1,1,0
200W. Greig(PAR),12,7,347,1,0,0,-,0,4,117,"1,074",1,10,2,0,0,184,12,4,3,0,0
200J. Hodgson(PAR),12,12,666,1,2,0,-,0,4,14,122,1,4,0,10,246,334,37,7,9,0,0
200R. Hunt(CRO),12,5,344,2,0,0,-,0,8,90,842,2,24,6,0,0,179,12,5,3,1,0
200B. Kelly(GLD),12,12,937,3,5,0,-,0,12,188,"1,562",4,33,22,3,24,162,32,14,8,0,0
200J. Marshall-King(DOL),12,12,905,2,8,0,-,0,8,57,642,4,19,3,2,4,455,31,5,9,1,0
200G. Marzhew(NEW),12,12,971,11,0,0,-,0,44,231,"2,165",15,97,4,2,15,19,15,7,0,0,0
200L. Mitchell(SOU),12,12,962,9,8,41,71,1,119,126,"1,126",3,63,11,21,476,35,6,8,5,0,0
200F. Molo(STI),12,12,596,1,0,0,-,0,4,149,"1,275",0,13,3,0,0,299,17,4,7,1,0
200M. Molo(STI),12,6,396,1,0,0,-,0,4,93,717,1,10,1,0,0,249,9,0,2,0,0
200C. Munster(MEL),12,12,951,6,8,1,50,0,26,130,"1,223",8,45,13,114,"3,207",244,39,7,13,0,0
200J. Ofahengaue(PAR),12,3,394,1,0,0,-,0,4,109,867,1,9,4,0,0,217,13,2,3,0,0
200J. Olam(MEL),12,12,883,4,2,0,-,0,16,156,"1,376",4,27,5,3,42,83,27,8,2,1,0
200J. Papali'i(CBR),12,11,517,1,0,0,-,0,4,148,"1,389",1,25,8,0,0,253,10,1,2,0,0
200B. Parker(MAN),12,12,919,3,1,0,-,0,12,100,851,2,18,2,1,11,155,30,9,5,0,0
200J. Paulo(PAR),12,11,654,2,0,0,-,0,8,162,"1,468",2,27,22,0,0,228,23,4,3,1,0
200V. Radley(SYD),12,12,826,1,1,0,-,0,4,87,679,1,7,0,0,0,462,30,10,8,3,0
200B. Simonsson(PAR),12,12,903,8,2,0,-,0,32,178,"1,512",7,34,11,3,32,90,15,9,4,1,0
200L. Smith(PEN),12,0,457,0,2,0,-,0,0,138,"1,088",0,10,6,0,0,255,16,1,3,0,0
200J. Suaalii(SYD),12,12,960,2,3,16,84,0,40,135,"1,189",4,30,12,0,0,88,18,11,2,0,0
200J. Sullivan(STI),12,10,820,3,3,3,100,0,18,57,428,4,17,5,61,"1,727",192,26,10,2,1,0
200I. Tago(PEN),12,12,973,8,5,0,-,0,32,179,"1,736",9,41,4,6,59,167,27,11,3,0,0
200J. Turpin(SYD),12,8,569,0,0,0,-,0,0,7,52,0,1,2,4,96,389,7,3,2,0,0
200J. Waerea-Hargreaves(SYD),12,10,526,0,1,0,-,0,0,155,"1,285",0,8,3,0,0,274,29,3,3,1,0
233N. Asofa-Solomona(MEL),11,6,555,3,0,0,-,0,12,127,"1,186",6,53,13,0,0,202,26,7,2,0,0
233T. Burgess(SOU),11,6,511,0,0,0,-,0,0,176,"1,566",1,26,3,0,0,216,32,8,1,0,0
233R. Campbell-Gillard(PAR),11,11,585,2,0,0,-,0,8,164,"1,447",2,12,1,0,0,214,19,1,3,0,0
233J. Croker(CBR),11,11,882,2,1,50,87,0,108,80,723,6,17,3,1,22,101,31,5,1,0,0
233R. Faitala-Mariner(CBY),11,9,460,0,0,0,-,0,0,83,744,0,8,2,0,0,253,13,3,4,0,0
233T. Gilbert(DOL),11,11,650,2,1,0,-,0,8,146,"1,162",1,15,2,0,0,368,34,4,5,0,0
233K. Hetherington(BRI),11,2,315,0,0,0,-,0,0,68,602,0,8,1,0,0,188,13,3,3,0,0
233T. Kamikamica(MEL),11,10,504,1,1,0,-,0,4,117,"1,055",0,10,4,0,0,282,14,2,5,1,0
