Team,Conference,region,aces_per_set,assists_per_set,team_attacks_per_set,blocks_per_set,digs_per_set,hitting_pctg,kills_per_set,opp_hitting_pctg,service_aces,W,L,win_loss_pctg
Towson,CAA,East,1.76,12.89,32.73,2.89,13.15,0.274,13.79,0.142,192,29,2,0.935
New Hampshire,America East,East,1.76,10.45,33.14,2.12,14.43,0.217,11.62,0.167,183,19,10,0.655
Portland,WCC,West,1.76,10.51,32.45,1.94,12.79,0.195,11.47,0.24,197,10,19,0.345
Iona,MAAC,East,1.76,11.59,38.05,2.07,17.72,0.181,12.34,0.168,181,17,12,0.586
Illinois,Big Ten,Midwest,1.75,12.01,33.07,2.32,12.08,0.224,12.81,0.212,191,15,15,0.5
Texas,Big 12,South,1.75,13.54,31.34,2.5,13.43,0.336,14.43,0.163,175,28,1,0.966
Binghamton,America East,East,1.74,11.41,32.83,2.6,14.01,0.246,12.36,0.167,164,17,9,0.654
Kennesaw St.,ASUN,Southeast,1.74,12.22,35.05,2.04,14.52,0.246,13.42,0.217,176,18,10,0.643
Lehigh,Patriot,East,1.73,10.09,31.64,2.68,13.33,0.216,11.21,0.165,185,13,15,0.464
Loyola Chicago,Atlantic 10,Midwest,1.72,12.62,34.02,2.15,14.74,0.248,13.73,0.185,222,25,9,0.735
Stony Brook,CAA,East,1.72,11.57,35.8,1.74,14.08,0.212,12.62,0.241,172,10,16,0.385
Utah St.,Mountain West,West,1.72,12.52,33.88,2.26,13.45,0.23,13.35,0.203,215,22,11,0.667
Utah Valley,WAC,West,1.72,11.98,32.77,2.62,12.05,0.225,12.93,0.202,184,18,11,0.621
Florida A&M,SWAC,Southeast,1.72,11.86,33.68,1.74,14.79,0.222,12.85,0.175,208,21,13,0.618
App State,Sun Belt,South,1.71,11.24,34.03,2.03,14.32,0.226,12.09,0.187,195,18,10,0.643
N.C. Central,MEAC,Southeast,1.71,8.73,30.93,1.34,12.33,0.147,9.52,0.243,157,7,19,0.269
Norfolk St.,MEAC,Southeast,1.7,9.37,31.36,1.8,12.42,0.158,10.17,0.207,156,7,18,0.28
Southern Miss.,Sun Belt,South,1.69,12.13,36.43,1.68,15.18,0.23,13.43,0.223,215,21,12,0.636
Jacksonville St.,ASUN,South,1.69,12.65,32.4,1.85,14.13,0.287,13.58,0.187,186,24,6,0.8
Presbyterian,Big South,Southeast,1.69,10.59,35.39,1.47,14.6,0.164,11.51,0.229,179,9,19,0.321
Central Ark.,ASUN,South,1.68,11.53,34.78,1.63,14.85,0.202,12.5,0.216,195,19,11,0.633
Washington,Pac-12,West,1.68,12.83,32.79,1.79,12.59,0.284,13.73,0.245,195,20,11,0.645
Louisville,ACC,East,1.68,12.02,30.75,2.97,12.78,0.285,13,0.154,200,31,3,0.912
IUPUI,Horizon,Midwest,1.68,10.8,35.68,1.75,14.64,0.162,11.73,0.224,191,9,21,0.3
Grambling,SWAC,South,1.67,10.93,36.72,1.83,16.3,0.166,11.98,0.144,169,15,12,0.556
Gonzaga,WCC,West,1.67,8.93,33.36,1.79,13.26,0.161,9.85,0.261,179,6,23,0.207
Wisconsin,Big Ten,Midwest,1.67,12.32,33.48,3.08,13.66,0.267,13.25,0.146,194,28,4,0.875
Kentucky,SEC,Southeast,1.67,13.67,35.29,2.6,13.78,0.285,14.75,0.21,177,22,8,0.733
SFA,WAC,South,1.66,12.71,37.47,2.15,16.61,0.247,14.02,0.177,188,26,5,0.839
Kansas St.,Big 12,South,1.66,11.44,35.27,2.59,14.28,0.208,12.39,0.195,183,15,14,0.517
Holy Cross,Patriot,East,1.66,8.87,33.88,1.53,14.4,0.111,9.76,0.244,153,3,24,0.111
Rider,MAAC,East,1.66,10.98,34.48,1.5,14.76,0.168,11.75,0.217,186,11,20,0.355
Southern California,Pac-12,West,1.66,13.03,32.59,1.98,12.95,0.288,13.9,0.23,209,22,11,0.667
Sacramento St.,Big Sky,West,1.66,10.82,33.59,2.66,13.72,0.205,11.88,0.177,199,15,15,0.5
Providence,Big East,Midwest,1.66,10.78,35.68,1.69,15.99,0.181,11.74,0.214,189,12,18,0.4
Wright St.,Horizon,Midwest,1.65,12.59,37.04,2.19,17.33,0.224,13.41,0.159,196,28,4,0.875
LMU,WCC,West,1.64,11.86,30.39,2.59,11.36,0.26,12.68,0.202,171,18,10,0.643
Southeastern La.,Southland,South,1.64,13.21,37.91,2.01,16.15,0.229,14.04,0.197,194,25,8,0.758
Omaha,Summit League,Midwest,1.64,13.02,36.9,2.34,14.72,0.232,13.91,0.203,192,20,11,0.645
Washington St.,Pac-12,West,1.64,12.27,31.84,2.56,12.87,0.28,13.42,0.21,195,23,10,0.697
Evansville,MVC,Midwest,1.64,11.95,33.3,1.72,12.3,0.23,12.79,0.243,216,16,19,0.457
Florida St.,ACC,East,1.64,11.54,32.66,2.3,13.5,0.248,12.6,0.188,180,19,11,0.633
UIC,MVC,Midwest,1.63,13.68,35.27,2.19,13.88,0.27,14.67,0.228,188,22,10,0.688
Western Caro.,SoCon,Southeast,1.63,11.56,35.69,2.33,15.29,0.221,12.7,0.193,199,20,13,0.606
UAB,C-USA,South,1.63,11.93,34.93,1.95,15.18,0.22,12.83,0.212,171,12,15,0.444
Cal Poly,Big West,West,1.62,11.97,33.64,2.25,14.31,0.234,12.93,0.195,182,17,13,0.567
Youngstown St.,Horizon,Midwest,1.62,11.85,34.21,1.71,14.49,0.216,12.48,0.215,191,14,16,0.467
Buffalo,MAC,Midwest,1.62,12.45,36.5,2.14,14.95,0.227,13.59,0.204,194,19,14,0.576
Missouri St.,MVC,Midwest,1.61,11.32,35.68,1.95,15.69,0.189,12.02,0.221,195,9,21,0.3
Navy,Patriot,East,1.61,12.13,33.81,2.2,12.79,0.207,12.76,0.197,182,16,12,0.571
Bowling Green,MAC,Midwest,1.61,12.59,36.51,2.33,15.51,0.229,13.44,0.179,190,22,10,0.688
Georgia St.,Sun Belt,South,1.61,10.89,34.48,2.32,14.74,0.19,11.76,0.21,177,7,22,0.241
Eastern Wash.,Big Sky,West,1.6,11.08,33.75,1.95,13.31,0.192,11.89,0.231,176,11,18,0.379
Denver,Summit League,Midwest,1.6,12.09,34.79,2.66,14.62,0.208,13.01,0.164,187,19,12,0.613
LIU,NEC,East,1.6,10.82,33.93,2.11,14.25,0.2,11.65,0.187,155,14,13,0.519
Montana,Big Sky,West,1.59,11.71,36.02,2.04,15.44,0.204,12.71,0.195,169,17,12,0.586
Portland St.,Big Sky,West,1.59,12.47,35.31,1.7,15.36,0.227,13.36,0.191,188,18,13,0.581
Hofstra,CAA,East,1.59,11.81,33.92,2.06,13.7,0.212,12.61,0.184,172,17,12,0.586
UT Martin,OVC,South,1.59,11.55,36.31,2.03,15.16,0.209,12.77,0.187,210,23,12,0.657
Delaware,CAA,East,1.59,12.01,35.57,1.8,15.55,0.195,12.94,0.194,173,17,11,0.607
Elon,CAA,East,1.59,11.05,35.43,2.11,15.2,0.186,11.94,0.195,173,13,14,0.481
Illinois St.,MVC,Midwest,1.59,11.94,36.39,1.81,15.25,0.189,12.71,0.219,173,12,17,0.414
Boston College,ACC,East,1.58,12.25,32.68,2.3,13.25,0.233,13.01,0.203,225,24,13,0.649
Florida,SEC,Southeast,1.58,12.34,30.66,2.73,12.5,0.272,13.27,0.158,179,25,6,0.806
St. Francis Brooklyn,NEC,East,1.58,10.7,33.87,1.96,14.17,0.187,11.69,0.209,171,14,17,0.452
Creighton,Big East,Midwest,1.58,13.37,36.32,2.03,16.57,0.266,14.39,0.173,188,27,5,0.844
UC Santa Barbara,Big West,West,1.58,12.34,33.28,2.61,14.03,0.247,13.2,0.189,172,20,10,0.667
Duke,ACC,East,1.58,12.06,34.78,2.16,13.78,0.195,12.68,0.191,183,16,13,0.552
UC Riverside,Big West,West,1.57,10.13,36.84,1.35,15.24,0.146,11.14,0.238,162,4,25,0.138
Grand Canyon,WAC,West,1.57,12.15,35.44,1.86,14.74,0.235,13.24,0.195,173,18,11,0.621
Jacksonville,ASUN,Southeast,1.57,10.88,34.47,2.45,14.55,0.206,11.59,0.208,165,11,17,0.393
San Diego,WCC,West,1.56,12.97,32.99,2.74,13.25,0.285,13.7,0.16,183,31,2,0.939
Boise St.,Mountain West,West,1.56,11.75,33.98,2.28,12.86,0.208,12.64,0.233,176,15,14,0.517
Houston,AAC,Southeast,1.55,12.81,36.02,2.11,15.17,0.249,13.85,0.174,197,30,4,0.882
Maryland,Big Ten,Midwest,1.55,10.34,32.45,3.33,13.34,0.196,11.45,0.18,184,16,16,0.5
Seton Hall,Big East,Midwest,1.55,10.96,34.3,1.87,13.95,0.2,11.96,0.21,170,15,15,0.5
Texas Southern,SWAC,South,1.54,8.28,33.93,1.42,13.93,0.109,9.24,0.203,156,9,19,0.321
Alcorn,SWAC,South,1.54,8.01,30.05,1.16,11.28,0.096,8.77,0.251,151,5,24,0.172
Santa Clara,WCC,West,1.54,11.52,31.97,1.71,12.4,0.244,12.3,0.261,177,13,19,0.406
Saint Mary's,WCC,West,1.54,10.89,34.08,1.93,12.47,0.203,11.58,0.259,143,9,17,0.346
Nevada,Mountain West,West,1.54,10.51,36.32,2.29,15.48,0.165,11.39,0.196,175,14,15,0.483
